customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5254-QSTLM,Female,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.6,761.18,No
7139-UTGCQ,Female,0,No,Yes,28,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),56.65,1583.76,No
9841-WQFWY,Male,0,No,No,49,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,61.28,2856.24,No
6006-CWHAU,Male,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.62,2765.5,No
6680-BKBKZ,Male,0,Yes,Yes,59,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),79.89,4652.93,No
6736-DWFYU,Female,1,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,83.97,1673.97,Yes
9477-QHMLY,Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),80.5,3945.0,No
2570-GGYRQ,Male,1,No,No,41,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),69.12,2625.6,No
5996-YWYMX,Female,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.85,1732.54,No
1460-SQRDM,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,96.61,2660.0,Yes
5903-RWQMS,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,85.97,1452.93,No
1517-EPAAT,Male,0,No,No,29,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,97.3,2711.86,Yes
3865-XCYPR,Male,0,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.67,1172.86,No
9912-GFWNV,Female,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.25,752.77,No
4926-GUWGJ,Male,0,No,Yes,64,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,62.51,3924.91,No
6498-KRQFD,Female,0,No,No,11,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,57.19,613.31,No
3473-NXYNG,Female,0,Yes,No,22,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,69.79,1532.85,No
9001-QSSAC,Male,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,34.8,2365.85,No
1676-DGFQZ,Male,0,No,Yes,58,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,69.83,3995.89,No
2302-CCHDH,Female,1,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,93.61,459.48,Yes
8619-VDGKR,Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,92.23,6069.67,No
5639-GHVLR,Female,0,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),95.86,2906.71,Yes
9370-NRSZA,Male,0,Yes,Yes,47,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),88.43,3961.71,No
4125-NLHSZ,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),108.02,106.85,No
6419-PUSWE,Female,0,No,Yes,11,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,60.12,658.63,No
4556-NCEPB,Male,0,Yes,No,50,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,75.67,3487.87,No
3426-BFVCL,Male,0,Yes,No,19,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,65.16,1182.82,No
4819-CAUDG,Female,0,Yes,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,135.9,Yes
5081-WUVJY,Male,0,No,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.58,1593.56,No
3664-XEDTJ,Male,1,No,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.22,396.27,No
1859-NREEV,Male,1,No,Yes,63,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),64.62,3876.09,No
4218-KEQCG,Male,0,No,Yes,13,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),47.67,577.14,Yes
3830-ZKEKY,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),76.25,74.57,Yes
4299-XHJAA,Female,0,No,No,28,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,80.47,2237.53,No
9945-QUZYM,Male,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.09,574.2,No
5495-BVBYT,Female,0,No,No,46,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),72.77,3171.81,No
4585-CVPTX,Male,0,No,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.82,297.61,No
3439-YNJML,Male,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.01,1886.5,No
2367-CNYZG,Female,0,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),86.1,2517.87,Yes
8882-REMYC,Female,0,No,No,51,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),54.83,2605.79,No
2002-ZBTGM,Male,1,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,28.27,1457.67,No
2968-FRJLV,Male,1,No,Yes,64,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,83.32,5260.39,No
8042-UKDVD,Female,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.05,996.18,No
2656-EJRMD,Female,0,Yes,No,16,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,44.69,678.27,Yes
3290-PUETR,Male,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),87.8,3223.82,No
6031-FMTMX,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),103.55,2955.04,No
6059-XGRJL,Female,0,Yes,Yes,44,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),54.33,2280.1,No
1956-QTPWB,Male,1,Yes,No,17,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,82.97,1344.23,No
3264-GXKRK,Male,0,No,No,37,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),62.5,2190.24,No
3585-VXAMK,Male,0,No,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),91.62,5957.62,No
4815-XNBXA,Male,1,Yes,No,50,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,92.46,4354.91,No
3828-NPTNB,Male,0,Yes,No,69,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Electronic check,60.73,3939.72,No
9093-LERSF,Female,0,No,No,7,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,92.34,631.5,Yes
6935-FCQQT,Female,0,No,No,47,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Mailed check,66.12,3079.52,No
7561-GSVKU,Female,0,No,No,1,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.12,76.05,Yes
6471-VBMGN,Female,0,No,No,14,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,66.93,899.65,No
4668-GKVHX,Male,0,Yes,No,60,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),87.76,5014.39,No
9218-AVWUR,Male,0,No,No,7,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,91.01,633.07,Yes
7676-NLYLC,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.39,847.8,No
5468-MQTQB,Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,79.63,380.34,Yes
6282-BTEQF,Female,0,Yes,No,21,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,82.34,1639.2,No
8613-WFFYY,Female,1,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,83.93,700.81,No
5376-XXJJR,Male,0,No,Yes,33,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),81.94,2534.39,No
1605-WJVYL,Male,0,No,Yes,46,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,84.29,3870.04,No
5238-ETHRN,Male,0,No,Yes,47,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.47,4183.44,No
2272-ZYXLJ,Male,0,Yes,Yes,68,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),88.21,5723.34,No
9588-RFHAH,Male,0,No,No,8,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,81.06,630.93,No
6578-FUAHB,Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.78,828.64,No
6586-PEEQH,Female,0,No,No,38,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.9,2722.47,Yes
2663-KAEGV,Female,0,No,No,6,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),55.51,321.09,No
5494-RUXKS,Female,0,No,Yes,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,89.0,698.5,Yes
4035-XQAXV,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),88.85,1899.97,Yes
9836-MGZRZ,Male,0,No,Yes,62,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,50.23,3015.01,No
9975-ZRWBA,Male,0,Yes,Yes,42,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),67.49,2728.91,No
6915-ACAWH,Male,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.37,1047.63,No
6058-LWATJ,Female,0,No,Yes,40,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,58.67,2253.8,No
3351-HUNQE,Male,0,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.65,4749.69,No
6599-AWRLE,Male,0,No,No,39,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),71.26,2569.28,No
9203-MMGBH,Female,0,No,No,52,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),60.73,2992.62,No
6749-UEXQM,Male,0,Yes,No,22,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.05,1367.98,No
3421-XPRYJ,Male,0,Yes,No,59,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),70.12,4029.2,No
9644-ZGRFL,Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,96.58,180.45,Yes
5350-NHHRP,Female,0,No,No,24,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,59.11,1322.96,No
3631-EKRFY,Female,0,No,No,18,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,94.15,1623.59,No
6774-LJTBL,Male,0,Yes,Yes,10,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),59.15,557.21,No
9898-QAANT,Female,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.28,738.49,No
3047-SPCTL,Female,0,No,Yes,65,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,72.66,4658.3,No
1388-GPUNE,Female,0,No,Yes,11,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,48.4,520.61,No
4829-VQEZA,Male,0,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,88.57,5409.57,No
8830-KMKPS,Male,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.41,1586.6,No
6909-QYPFM,Female,0,Yes,Yes,64,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),83.4,4914.08,No
9427-JLHYJ,Male,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.44, ,Yes
3955-ZUHHR,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.94,1833.99,No
5398-AECPZ,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),83.82,2444.9,No
9541-MWVVF,Male,0,Yes,No,43,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),81.7,3309.22,No
1108-XGXXQ,Female,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,94.79,1954.94,No
7193-URXXH,Female,0,No,Yes,37,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.73,2012.61,No
4734-HGBLT,Female,0,Yes,No,40,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),61.83,2291.14,Yes
5020-AEDXA,Male,0,No,No,58,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),58.48,3385.68,No
1264-WRLFL,Female,0,Yes,No,24,No,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,48.65,1087.85,No
2092-FMHNJ,Female,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.53,182.69,No
7722-NABKA,Female,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.43,993.63,No
1531-ZZGWU,Female,0,No,No,57,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,68.17,3683.03,Yes
9762-QLCFY,Female,1,Yes,No,1,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),63.65,63.4,No
1972-MUXUA,Male,1,No,No,59,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,89.53,5127.99,Yes
3165-LZMNV,Male,0,No,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),77.55,4486.13,No
2550-HDEFV,Male,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),29.05,1140.35,No
7585-FMQAA,Female,0,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.17,1631.65,Yes
4332-VVJED,Female,0,Yes,Yes,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,93.91,2435.95,Yes
6080-BDTJK,Female,0,Yes,No,9,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,68.01,591.28,No
1057-QSJLF,Male,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,32.01,1476.9,No
2105-MBPGC,Female,0,Yes,No,44,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,94.31,3856.91,No
9741-DUKKQ,Female,0,No,No,66,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,76.78,4835.43,No
2889-VURHC,Male,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.98,1196.76,Yes
5637-XQLPC,Female,0,Yes,No,11,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),83.45,874.78,Yes
3264-LYDHJ,Female,0,Yes,No,49,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,53.63,2444.26,No
6996-EKGWU,Female,0,No,No,22,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,78.6,1698.55,Yes
3387-GKGNL,Male,0,No,No,13,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),54.29,652.11,No
4088-NTUWJ,Female,0,Yes,No,49,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,71.82,3286.37,No
9198-QMMLT,Female,0,No,Yes,13,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,98.84,1183.73,No
6711-XWPKY,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,61.29,3620.74,Yes
2753-XDMCV,Female,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.25,539.04,No
5230-QEXTP,Female,0,Yes,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.04,1153.29,No
1583-ZRBAR,Male,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.63,1078.76,No
2145-RBAYN,Female,0,No,Yes,43,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,68.01,2710.75,Yes
5113-UGKXM,Male,1,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.39,544.1,No
1311-EXKUJ,Female,0,No,No,6,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,72.11,430.66,Yes
3622-GXQXM,Male,0,No,Yes,46,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),85.24,3865.3,No
9386-WVJEK,Male,0,Yes,No,31,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,75.0,2149.13,No
5788-TWNBP,Female,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.72,1650.11,No
6725-KXZSM,Male,0,No,Yes,64,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,54.65,3471.13,Yes
5372-NTFPL,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,92.32,435.45,No
4270-VENGV,Male,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,83.99,2098.69,No
8043-BVHME,Female,0,Yes,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,98.85,2961.57,Yes
3483-VKJMA,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,26.87,690.32,No
2172-MEJDR,Male,0,No,No,52,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,56.53,2928.55,No
3891-WALRQ,Female,0,No,No,26,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),68.24,1668.73,No
8941-NPEMG,Male,0,Yes,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),92.27,942.24,No
7785-WJHMQ,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1993.98,Yes
3469-FBHWV,Female,0,No,No,57,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,57.43,3142.91,No
6127-TVPMX,Female,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,33.86,908.63,No
8391-ANZKQ,Male,0,No,No,20,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,41.15,805.53,No
2362-PTMSP,Male,0,Yes,No,56,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,85.25,4719.4,No
8746-PBBFH,Female,0,Yes,No,4,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,73.82,287.18,No
1405-HLWMG,Female,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,95.77,2988.3,Yes
3709-WESDL,Male,1,No,No,7,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,96.7,643.83,Yes
8496-LRJDM,Male,0,No,No,44,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,93.49,4083.42,No
6423-HCDKB,Male,0,Yes,No,65,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,57.83,3589.36,No
3005-AYWNM,Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),78.0,2334.0,Yes
2867-NEVPU,Male,1,Yes,No,71,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),72.51,4814.01,Yes
4999-QQEAZ,Male,0,No,No,63,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),63.46,3745.26,No
1674-RDSXL,Female,0,No,No,53,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,60.83,3042.73,No
9304-JUCDH,Male,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.37,339.58,Yes
1562-CTUTS,Female,0,Yes,No,2,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,62.49,122.43,No
3256-XHKYQ,Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),89.97,690.05,Yes
1224-AMLVX,Female,0,No,Yes,25,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,58.99,1374.02,No
1182-YJTRU,Female,1,Yes,No,29,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.12,2434.06,No
9898-VGGJF,Female,0,No,No,15,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,99.84,1482.47,No
4830-MRFZD,Male,0,No,No,71,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,64.11,4395.38,Yes
8414-NTQRM,Female,0,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.99,1608.6,Yes
3226-KNFEA,Female,1,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,32.3,1628.58,No
9149-TEAHN,Male,0,Yes,No,47,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),68.09,3140.52,No
9555-RTHQW,Male,0,No,No,44,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),87.42,3752.23,No
4297-SVFAC,Male,0,No,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.37,1465.5,No
9014-DVLYM,Female,0,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.87,707.92,Yes
1582-XUJAQ,Female,0,No,No,10,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),65.94,611.3,Yes
7949-BGHAR,Female,0,Yes,No,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,364.19,No
1532-YXTDH,Female,0,No,No,16,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.53,849.68,No
4117-HSLCQ,Female,1,No,Yes,69,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,81.5,5242.37,No
6203-AQCJW,Male,1,Yes,Yes,41,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,79.88,3134.45,Yes
2500-RYEKB,Male,0,No,No,31,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,101.37,2891.52,No
7448-XAYMU,Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.12,25.92,No
9381-XLJZZ,Male,0,No,No,51,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,55.92,2740.83,No
4694-WENYS,Female,0,No,No,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,62.24,2833.78,No
