gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,107.35,961.01,No
Male,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),77.96,5395.73,No
Male,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.67,3337.64,No
Female,0,Yes,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.23,1909.06,No
Female,0,Yes,No,70,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.87,4266.48,No
Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),95.69,365.44,No
Female,0,Yes,No,8,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,73.61,573.86,Yes
Male,0,Yes,No,13,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,62.88,771.43,No
Male,0,Yes,No,41,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),61.99,2442.33,No
Female,0,No,Yes,25,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),58.18,1350.39,Yes
Male,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,98.95,94.85,Yes
Male,1,No,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.18,3972.99,No
Male,0,Yes,No,23,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,63.9,1381.38,No
Female,1,Yes,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.69,1179.33,No
Female,1,No,Yes,55,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.72,4808.61,Yes
Female,0,Yes,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),23.0,1349.55,No
Male,0,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.03,1000.37,No
Male,0,No,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,102.06,4979.91,No
Female,0,No,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),101.08,490.52,Yes
Male,0,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.57,1485.61,No
Female,0,No,No,32,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.92,2569.1,Yes
Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,89.47,0.0,Yes
Male,0,No,No,5,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),46.96,220.75,No
Female,0,Yes,No,22,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),69.16,1440.39,No
Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.78,741.17,No
Male,1,No,No,15,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),69.27,973.4,No
Female,0,Yes,No,56,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,55.16,2981.28,No
Female,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,89.68,2677.14,No
Female,1,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.44,453.88,No
Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.24,1567.57,No
Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),90.05,2759.59,No
Female,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),81.14,4257.65,No
Female,0,No,No,36,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,89.78,3136.42,No
Male,1,Yes,No,54,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),61.03,3292.86,No
Female,0,No,No,62,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,60.07,3687.97,No
Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.04,113.13,No
Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.54,201.17,Yes
Male,0,No,No,53,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,63.61,3132.56,Yes
Male,0,No,No,40,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),81.48,3086.32,No
Male,0,No,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.45,470.8,No
Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),100.91,190.58,Yes
Male,0,Yes,No,69,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),54.93,3592.61,No
Female,0,No,Yes,6,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,60.14,354.43,No
Female,1,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),80.0,2555.99,Yes
Female,0,No,Yes,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,93.93,1448.45,No
Male,0,No,Yes,28,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),86.95,2316.89,Yes
Male,0,No,Yes,52,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,87.4,4213.75,Yes
Female,0,Yes,No,37,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,83.07,2895.8,No
Female,0,No,No,3,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Electronic check,63.89,176.67,Yes
Male,1,Yes,No,6,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.69,393.01,No
Female,0,No,Yes,68,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.22,3603.62,No
Male,1,No,No,18,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),88.18,1520.73,No
Female,1,No,No,31,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.25,2765.86,No
Male,0,No,No,57,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),64.74,3634.4,Yes
Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.09,1556.1,No
Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),94.77,1810.51,Yes
Male,0,No,No,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,95.72,1480.1,No
Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.36,770.43,No
Male,0,No,No,24,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,80.94,1869.95,Yes
Male,1,No,Yes,51,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),52.17,2567.09,No
Female,0,No,Yes,53,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),63.54,3217.56,No
Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.18,434.94,No
Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),81.62,2202.28,No
Female,0,No,No,53,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,70.02,3467.48,No
Male,0,Yes,Yes,37,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.99,2293.54,No
Male,0,No,No,40,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,67.02,2659.44,No
Female,0,Yes,Yes,59,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.74,4688.32,No
Female,1,No,No,47,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),85.87,3792.43,Yes
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),91.3,4143.31,No
Female,1,Yes,No,35,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,56.3,1870.47,No
Male,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,31.52,1829.88,No
Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.38,25.19,Yes
Female,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.39,477.81,Yes
Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),78.81,3598.36,No
Female,1,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.71,1017.65,No
Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,100.39,1858.82,Yes
Female,0,No,No,43,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),48.33,1968.96,No
Male,0,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,95.46,661.11,Yes
Male,0,Yes,Yes,44,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),65.31,2834.83,No
Male,0,Yes,No,26,No,No phone service,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),49.14,1191.01,Yes
Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.11,1283.93,No
Female,1,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.55,604.15,No
Male,0,Yes,No,52,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),86.55,4186.93,Yes
Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.27,195.28,No
Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.64,1726.44,No
Male,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),87.94,3031.52,No
Female,1,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.83,323.05,No
Male,0,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),28.73,1966.79,No
Female,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),70.78,463.48,No
Male,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.95,836.09,No
Female,1,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.82,153.95,Yes
Male,0,Yes,No,65,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),75.39,4534.59,Yes
Male,1,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.58,1147.13,No
Female,0,No,Yes,18,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,53.4,945.37,No
Female,1,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,92.71,4150.44,Yes
Female,0,No,Yes,64,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,95.7,6014.33,No
Male,0,Yes,No,30,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),55.78,1605.55,Yes
Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,83.47,1413.57,Yes
Female,0,No,No,25,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),83.97,2031.02,No
Male,1,Yes,No,66,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,60.46,3990.1,No
Female,1,Yes,No,66,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.8,5490.59,No
Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.6,208.47,No
Female,1,Yes,No,65,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,63.63,3862.48,Yes
Female,0,No,No,61,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.75,4935.06,No
Female,0,Yes,No,39,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),55.91,2098.68,No
Male,0,No,No,18,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),59.76,990.09,No
Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),86.72,2796.3,No
Female,0,No,No,56,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,No,Mailed check,59.26,3063.31,No
Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,87.61,1657.41,No
Male,0,No,No,25,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Mailed check,64.66,1572.29,No
Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),87.37,2714.4,No
Female,0,Yes,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.49,209.3,No
Female,0,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.09,752.84,No
Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),73.53,638.85,No
Male,0,No,Yes,0,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,66.9,0.0,Yes
Male,0,Yes,No,28,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),72.84,1905.45,No
Female,0,Yes,Yes,55,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),78.75,4238.67,No
Male,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.05,1978.57,Yes
Female,0,Yes,No,32,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,91.21,2734.05,No
Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,96.94,5165.88,No
Male,0,No,No,16,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,69.04,1065.76,No
Male,1,Yes,No,46,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,62.26,2816.93,No
Male,0,No,Yes,48,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),84.68,3747.13,No
Female,1,No,No,24,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,47.12,1108.2,No
Female,1,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.97,880.47,No
Male,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.24,1198.92,No
Female,0,No,No,22,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),60.63,1240.84,No
Male,0,Yes,No,44,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,83.71,3466.78,No
Male,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,102.07,1590.68,Yes
Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.33,3455.48,No
Male,1,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.68,372.35,Yes
Male,0,No,No,32,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.88,2433.92,Yes
Female,0,Yes,No,36,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,58.24,2033.05,Yes
Male,0,Yes,No,60,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,76.94,4472.14,No
Female,0,Yes,Yes,27,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),61.41,1558.83,No
Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),86.51,0.0,Yes
Male,1,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),85.79,163.32,No
Male,0,Yes,Yes,39,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,52.88,2025.06,No
Male,0,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.87,1522.52,No
Male,0,No,Yes,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,89.33,5759.69,No
Male,0,Yes,No,59,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.9,4286.92,No
Female,0,Yes,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.06,539.17,No
Male,0,Yes,Yes,35,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),98.67,3290.32,No
Male,0,No,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.8,1447.08,No
Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.6,1532.27,No
Male,1,No,Yes,33,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,93.78,3061.84,No
Male,0,No,Yes,35,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,65.05,2273.4,No
Female,0,Yes,No,5,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),53.76,260.05,No
Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,89.05,1049.06,No
Female,1,Yes,No,38,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,54.8,2023.75,No
Female,0,Yes,No,37,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,64.82,2352.58,No
Male,0,No,No,41,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,70.22,2834.66,Yes
Male,0,Yes,No,22,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),58.51,1218.78,No
Male,0,No,Yes,16,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,79.86,1208.3,No
Female,0,No,No,33,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,72.32,2198.39,No
Male,0,Yes,No,64,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,56.12,3430.75,No
Female,0,No,No,70,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,86.7,5860.89,No
Female,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),27.63,80.94,No
Female,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,106.52,2490.27,No
Female,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.59,976.33,No
Female,0,No,Yes,15,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.52,1107.39,Yes
Male,0,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,90.02,2079.38,No
Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.08,655.87,Yes
Male,0,Yes,No,33,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),87.1,2843.76,Yes
Female,0,Yes,No,64,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),91.31,5485.16,No
Female,0,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.37,1371.09,No
Female,0,No,No,1,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),54.26,50.63,Yes
Male,1,No,Yes,46,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),86.9,3686.49,No
Female,1,No,No,66,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,86.95,5460.26,No
Male,0,Yes,No,56,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,87.31,4526.71,Yes
Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,96.1,383.3,Yes
Female,0,Yes,Yes,28,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,68.4,1906.49,No
Male,0,Yes,No,54,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),75.87,3994.98,Yes
Male,0,No,No,71,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,87.84,6015.77,No
Female,1,Yes,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,85.56,1718.22,No
Male,1,No,No,20,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),62.17,1211.23,Yes
Male,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.93,366.99,No
Male,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.4,6383.68,No
Male,0,No,No,13,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,60.51,740.44,No
Female,0,No,No,26,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),48.22,1197.74,Yes
Female,0,No,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),30.02,249.77,No
Male,1,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.3,1456.78,Yes
Male,1,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),27.77,108.74,Yes
Male,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.61,3407.78,Yes
Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.48,330.03,Yes
Female,0,No,No,29,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),71.06,2015.3,No
Female,0,Yes,Yes,42,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,81.39,3181.9,No
Male,0,No,No,50,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,62.53,3077.24,No
Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.13,3765.16,No
Male,0,No,Yes,31,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),65.88,1940.7,No
Female,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.42,1473.74,No
Male,0,No,Yes,58,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),66.74,3842.54,No
Female,0,Yes,No,49,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,88.11,4134.77,No
Female,0,Yes,No,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.88,1004.71,No
